0,1,2,3,4,5
3.54,5.46,4.71,4.29,5.25,12.54
11.75,12.38,9.71,8.04,9.59,9.83
8.71,11.42,4.96,8.71,8.5,13.17
14.5,9.71,10.21,9.13,8.79,13.42
6.58,7.04,8.38,1.75,4.04,9.79
5.66,10.21,4.83,9.25,10.21,14.96
15.87,26.2,6.58,10.21,9.96,17.5
13.08,14.12,6.58,10.79,7.83,17.75
3.71,,3.54,5.58,3.08,7.83
7.92,7.71,2.5,5.66,2.75,12.08
5.79,5.79,4.75,6.0,5.58,12.42
14.71,14.33,17.46,21.04,16.33,28.04
3.79,6.75,1.25,5.88,3.54,10.0
11.58,12.58,10.41,8.38,11.75,25.41
16.42,13.92,21.71,19.55,15.75,23.75
23.54,19.7,17.16,20.38,20.41,28.67
13.17,6.92,11.96,6.92,8.79,18.46
9.38,11.71,8.54,5.88,6.34,12.92
9.5,14.29,10.34,13.46,15.25,15.71
7.08,10.67,5.96,5.17,5.41,9.25
5.29,6.96,5.13,5.41,6.21,12.46
10.75,8.12,11.21,6.54,8.63,12.87
9.54,12.96,2.62,7.75,5.83,8.25
20.62,13.13,13.54,11.29,12.42,19.38
5.75,2.79,5.33,3.96,3.21,8.63
12.25,9.38,10.17,7.29,8.58,20.83
9.54,5.75,8.67,4.29,5.63,12.87
7.79,5.58,4.88,3.0,2.21,8.42
12.67,8.21,9.5,10.08,9.17,18.96
13.79,10.88,7.92,9.38,9.17,11.75
14.71,11.54,7.25,11.0,8.96,17.21
26.3,23.09,16.42,17.92,16.96,19.58
20.12,18.66,16.0,12.5,15.09,19.08
21.0,16.79,20.21,12.29,8.54,10.29
9.25,9.42,5.09,4.75,3.46,6.96
17.21,14.17,19.17,13.75,11.08,16.71
14.58,11.0,14.5,11.63,10.54,17.62
21.67,16.88,22.29,12.42,13.0,18.41
4.33,3.46,3.25,7.21,4.38,7.12
14.33,10.88,11.0,7.87,8.75,15.96
13.25,11.08,9.5,7.38,6.17,6.04
14.5,11.29,12.75,15.04,13.21,20.12
20.67,20.46,11.5,12.08,9.54,10.92
2.58,6.25,4.12,1.46,3.0,10.63
17.92,9.13,15.67,10.71,10.88,16.71
4.96,8.71,4.75,3.21,3.67,5.21
10.58,7.33,10.21,6.38,8.0,12.21
10.34,12.58,6.0,3.96,4.17,11.63
18.16,17.5,20.62,18.21,15.96,26.92
8.92,7.87,7.5,2.0,2.75,7.83
11.67,7.87,11.08,5.63,5.5,10.25
5.41,4.21,6.42,8.5,5.79,12.96
19.75,22.54,12.87,14.79,14.21,25.96
6.71,7.46,4.5,5.46,3.79,13.25
16.38,27.37,11.38,13.79,8.79,13.42
4.29,4.42,5.54,6.75,4.71,13.59
28.33,27.04,23.0,21.87,23.83,40.41
7.46,9.54,4.46,2.92,4.08,10.0
11.17,7.54,10.5,9.67,6.87,12.33
15.96,16.58,13.88,11.0,8.83,12.46
13.83,9.46,13.59,17.04,12.0,19.12
15.16,11.17,14.0,18.16,11.38,27.84
9.79,8.25,5.75,6.96,5.88,9.29
20.12,22.0,14.54,18.54,16.38,31.13
9.08,10.54,5.46,7.08,7.04,11.42
8.25,13.59,6.96,7.38,6.13,8.54
7.12,5.91,6.34,4.79,3.08,7.54
5.29,5.88,6.5,4.96,5.37,11.92
6.13,6.29,4.63,1.79,2.37,4.67
5.41,7.29,6.5,3.04,3.04,5.54
10.17,8.08,13.0,12.17,10.46,23.16
8.29,7.71,9.5,4.88,2.21,6.71
11.21,10.13,10.37,3.79,8.79,12.29
4.17,6.0,4.12,4.71,3.13,9.04
6.21,9.46,7.25,3.96,4.42,12.46
16.92,15.21,11.58,11.75,12.58,16.08
18.63,15.67,12.38,9.33,11.63,15.29
20.08,18.63,14.37,15.34,15.92,20.83
5.58,5.75,5.96,10.67,7.71,20.91
18.84,12.96,12.5,14.58,12.46,32.5
17.62,13.7,21.25,17.88,12.08,22.71
18.25,13.67,14.09,12.25,7.29,26.5
12.62,8.83,8.71,12.83,7.75,19.87
17.92,17.58,16.46,10.58,10.58,22.75
5.04,5.37,7.5,4.42,1.96,10.92
12.12,13.59,11.79,10.0,10.0,21.54
30.29,24.0,22.54,22.04,18.66,23.16
13.83,11.12,12.38,12.29,9.5,20.0
6.5,5.83,3.5,1.75,1.38,17.04
10.08,8.67,9.62,5.54,6.87,12.67
9.04,6.0,7.41,10.75,9.54,16.21
17.33,12.38,19.29,21.09,17.71,26.83
8.33,5.09,9.87,4.0,8.87,14.83
13.83,12.17,17.0,13.67,16.62,22.79
7.25,7.38,6.04,6.58,9.08,17.58
4.42,4.12,6.42,4.63,3.92,11.21
10.0,8.0,13.29,11.08,7.25,19.0
3.79,1.87,5.5,1.87,2.04,7.71
10.88,9.04,14.17,9.38,7.0,13.59
8.75,7.83,7.54,5.37,5.66,7.46
5.66,6.63,4.92,2.42,3.75,8.5
5.58,10.34,3.92,5.96,3.08,9.13
17.12,11.46,19.38,13.33,8.63,12.12
15.0,15.54,18.38,13.42,15.09,23.79
14.04,12.46,11.87,8.0,8.12,13.88
2.37,4.54,2.08,4.46,1.87,7.87
19.5,14.62,17.71,9.87,11.0,21.25
10.54,11.34,6.34,8.67,7.46,15.0
14.71,16.54,10.67,11.63,13.88,19.5
8.17,6.17,7.0,9.25,7.0,20.33
9.54,15.21,4.63,7.83,4.67,22.75
6.13,5.41,2.54,8.5,6.34,16.71
11.63,12.12,5.79,9.67,7.67,20.12
12.58,22.25,10.67,11.21,6.92,7.5
21.12,18.66,14.88,16.17,15.71,30.71
5.75,6.42,4.5,5.46,2.21,10.21
7.46,6.38,11.63,5.04,10.83,18.54
4.08,8.33,9.13,6.87,4.42,4.08
6.34,8.87,6.58,5.46,7.17,11.29
8.92,8.12,6.0,5.17,3.79,12.0
11.96,13.37,12.25,9.38,8.92,16.83
7.92,7.12,10.67,12.38,8.38,20.5
8.63,3.13,7.67,3.71,3.75,7.62
9.96,9.21,10.71,8.42,4.5,13.17
14.37,13.54,14.88,9.59,13.62,16.83
12.87,9.75,14.25,10.08,10.08,18.46
16.79,11.17,10.41,9.54,10.21,16.92
5.79,15.21,5.91,6.34,5.13,11.38
3.83,10.0,5.09,3.75,4.33,7.41
8.83,11.17,6.04,7.46,7.25,22.46
7.04,6.75,10.46,11.58,8.5,25.17
18.25,12.25,19.41,18.16,14.0,29.46
9.13,9.08,8.12,2.58,4.75,34.08
12.83,8.46,5.41,6.21,3.92,10.96
12.71,10.75,2.71,5.25,2.79,9.5
10.46,10.83,4.75,12.33,6.21,20.21
7.92,8.12,2.5,10.34,6.08,16.66
7.96,8.25,3.92,4.63,2.54,8.5
22.79,14.29,12.71,11.21,12.08,26.46
6.38,6.46,5.13,4.25,5.0,16.08
11.92,11.17,7.17,8.0,10.04,21.42
17.29,15.5,9.21,9.71,12.33,16.29
11.46,9.38,10.92,11.0,12.12,14.04
13.33,8.33,13.42,12.04,11.83,20.96
11.08,7.29,3.37,2.42,0.79,3.08
4.96,4.5,5.5,2.62,5.25,6.54
10.17,12.17,5.17,5.37,3.5,6.75
4.88,8.71,3.5,0.37,0.04,4.12
4.08,7.58,2.54,1.25,2.67,5.04
13.25,10.79,12.71,5.58,6.83,14.46
7.5,5.09,8.0,3.17,5.37,10.58
11.71,12.04,10.67,4.67,9.79,15.5
16.71,15.25,14.62,9.21,6.34,13.67
6.0,9.62,6.25,6.79,1.96,14.37
16.58,14.46,12.54,9.83,14.17,20.17
12.25,10.54,9.92,12.62,11.21,18.66
13.54,25.5,9.75,8.63,9.0,10.46
7.17,20.83,8.29,7.75,5.09,10.41
14.58,11.58,12.33,7.41,3.37,10.34
10.75,11.29,13.0,10.21,8.5,16.66
8.04,6.29,4.25,3.88,1.87,9.08
9.21,9.17,9.21,7.25,4.29,20.54
5.21,8.79,5.91,5.37,3.83,10.25
11.04,8.67,10.63,5.46,7.71,15.12
4.92,4.46,3.92,6.0,4.58,14.67
10.0,6.83,6.0,2.92,2.71,5.71
10.21,10.63,8.33,7.12,3.88,10.13
18.71,17.08,14.37,15.12,16.13,12.38
7.75,10.5,4.92,6.21,3.25,14.42
9.29,9.33,6.83,7.58,6.42,18.29
11.34,9.33,14.17,12.17,8.71,16.83
13.25,19.12,11.34,13.25,7.75,15.46
14.46,16.17,12.58,17.0,15.59,28.33
11.25,10.34,8.08,6.92,4.38,12.29
20.21,16.92,11.83,13.96,11.5,22.67
12.92,12.92,7.71,8.04,6.29,13.37
9.04,8.67,11.46,6.5,5.66,13.25
18.12,17.16,20.12,19.29,14.83,23.91
8.38,14.04,5.54,6.29,3.92,10.67
28.79,23.63,33.04,24.5,17.79,29.5
19.0,14.25,15.29,10.83,12.08,20.12
6.92,7.04,5.25,5.09,4.75,9.87
14.04,13.25,10.13,9.83,7.38,13.62
3.75,4.67,1.54,2.62,1.42,6.75
10.34,10.41,5.5,6.13,3.13,9.87
8.54,8.67,4.79,5.96,4.63,11.67
10.41,5.75,1.42,3.5,1.08,7.46
8.67,11.54,3.88,5.75,2.08,12.83
8.79,14.83,7.29,10.5,3.04,8.33
4.92,6.38,3.17,3.88,3.5,10.71
8.71,7.87,6.0,9.96,5.66,22.63
11.38,11.46,11.75,15.29,8.21,12.54
24.13,20.62,17.37,15.92,16.38,26.54
19.04,21.42,12.29,18.41,9.79,14.5
30.42,17.08,14.17,14.33,11.54,16.04
12.17,6.21,8.38,3.13,1.21,7.79
22.0,18.05,17.16,12.96,11.46,17.12
10.34,8.92,9.42,12.87,8.08,14.5
13.67,9.21,11.17,2.79,2.33,9.59
6.42,11.83,3.96,6.58,4.33,9.17
16.71,14.83,8.87,11.46,10.54,22.0
9.67,11.12,5.33,4.08,2.92,9.92
7.12,9.0,7.96,5.37,5.75,12.29
10.37,11.54,11.17,8.17,10.41,15.46
14.21,10.25,8.29,5.96,7.71,13.17
15.34,10.92,11.92,7.54,10.79,14.92
5.29,4.67,6.0,7.0,5.29,6.46
12.75,10.37,9.33,7.54,6.58,14.0
8.96,10.58,8.29,5.63,8.04,18.12
9.46,15.5,6.08,6.79,3.5,9.92
18.84,24.67,10.17,10.21,9.04,20.75
16.46,10.37,16.88,7.5,7.25,14.33
14.21,9.08,10.88,14.21,9.62,22.04
13.59,12.08,9.75,7.41,6.04,15.87
6.96,6.54,9.21,11.96,8.79,18.91
25.7,21.37,16.88,13.67,12.58,20.62
13.46,13.88,10.08,8.71,12.25,19.58
4.17,7.41,5.41,7.0,3.58,10.67
18.96,18.63,13.0,12.54,11.58,17.54
15.79,16.71,10.92,8.12,8.54,14.58
12.04,10.08,8.54,4.25,7.0,11.17
9.38,18.46,8.29,6.75,3.5,4.33
17.21,12.21,14.29,13.7,13.13,17.08
12.42,16.25,12.12,14.54,10.96,18.75
15.54,13.29,13.96,8.92,11.67,17.5
20.12,14.04,13.75,11.54,9.42,17.29
12.46,18.0,6.38,8.42,5.66,8.54
13.79,6.79,8.92,5.91,7.71,14.62
8.29,10.21,8.38,7.83,5.96,13.5
7.96,7.04,6.87,4.92,4.83,8.87
7.46,9.67,4.58,7.46,4.38,9.62
23.79,13.92,17.62,15.59,8.5,26.34
16.29,14.62,8.96,11.87,6.87,21.59
16.38,19.12,10.67,13.13,9.25,24.25
14.67,9.79,8.54,9.71,3.33,6.17
14.42,11.63,15.79,13.13,10.5,19.67
25.12,13.96,24.58,25.46,19.08,38.25
25.84,20.88,25.92,25.33,16.88,25.96
11.58,8.75,12.62,10.88,5.09,13.29
33.12,25.88,21.79,19.62,21.54,28.71
18.34,14.25,13.83,14.58,10.83,22.17
11.67,13.46,10.17,10.0,5.79,12.92
9.5,7.21,6.79,5.33,5.83,14.54
8.5,8.75,7.08,10.88,8.79,10.58
21.84,15.0,16.0,17.71,20.54,33.04
14.88,8.08,9.46,12.83,10.34,18.41
12.33,10.37,8.33,9.08,9.75,14.0
18.46,15.96,12.83,10.0,7.62,10.58
8.75,6.29,5.96,3.08,4.75,12.12
15.0,14.75,12.75,10.46,12.58,20.46
12.12,10.0,9.13,9.42,7.87,16.38
7.21,6.46,6.25,5.09,3.88,7.79
10.25,13.75,5.17,9.25,5.0,16.46
3.25,4.38,1.83,5.09,3.54,12.46
17.79,16.5,19.38,14.0,12.5,24.41
15.63,13.83,14.0,9.46,8.29,15.09
15.25,15.16,10.79,12.46,11.34,19.12
9.75,8.25,12.33,11.67,8.75,22.46
11.04,7.79,5.71,7.08,3.88,9.79
8.75,5.96,5.33,10.46,6.75,17.21
10.58,7.96,8.04,10.88,11.46,21.25
11.46,14.0,7.21,12.79,10.75,18.79
6.13,3.42,7.5,6.5,4.04,11.42
7.58,7.33,7.96,6.87,7.58,13.67
20.91,14.09,15.87,15.0,15.25,25.04
10.29,14.37,6.25,9.96,4.63,7.5
15.92,14.09,13.0,8.29,7.54,12.71
5.37,6.54,2.13,4.29,2.5,6.79
7.75,10.71,6.04,11.92,6.58,18.46
10.41,11.04,9.67,10.04,10.17,13.67
4.46,4.92,3.21,3.42,4.88,20.25
15.75,12.54,15.71,9.04,8.58,11.08
6.42,5.75,3.37,5.63,3.83,11.67
6.04,5.41,3.92,3.46,2.29,10.58
9.42,7.71,5.96,8.63,4.25,11.25
9.83,8.12,4.29,10.04,5.63,15.16
23.33,22.67,17.83,20.54,18.88,32.08
5.66,5.33,4.29,3.08,1.79,8.17
7.21,8.33,7.21,5.66,5.54,15.83
13.5,7.83,10.75,6.96,5.63,8.79
4.58,7.5,0.87,0.92,3.13,6.17
10.83,7.79,9.83,8.08,7.33,15.67
7.62,9.38,3.46,7.83,5.75,12.42
16.0,13.37,14.09,15.46,9.5,14.92
9.04,7.87,4.79,11.67,8.58,23.42
8.75,11.83,11.25,12.17,10.71,22.95
10.17,9.92,4.5,4.75,2.92,10.79
16.38,15.54,11.12,9.21,11.34,17.75
11.75,10.08,11.96,12.25,3.58,27.84
27.5,20.21,17.0,18.34,17.54,23.54
8.63,7.25,7.21,11.17,9.46,16.46
13.13,14.54,9.67,14.29,11.04,15.37
20.3,20.04,21.25,26.42,18.71,22.63
14.29,12.54,10.54,13.21,8.79,13.08
13.7,9.42,15.92,14.37,10.75,21.96
16.88,11.58,14.37,14.09,10.54,14.88
5.09,13.0,4.0,10.17,4.67,9.92
7.96,13.5,4.12,12.5,4.38,15.04
8.0,12.58,5.37,7.58,4.29,9.96
14.12,27.25,10.88,16.0,10.04,20.79
11.92,18.66,9.87,11.08,9.29,16.62
8.5,18.0,6.34,10.0,7.46,9.62
4.83,12.54,4.88,4.0,1.46,4.88
4.63,14.33,5.0,6.79,3.08,5.04
18.79,15.92,13.21,15.5,15.25,19.04
8.92,7.0,7.54,5.0,4.08,9.71
19.83,15.46,21.34,21.09,16.46,29.63
20.33,17.25,21.71,20.3,15.04,28.84
16.75,12.25,16.38,18.5,14.46,29.67
,9.08,,10.88,9.04,
14.62,13.75,10.88,11.83,9.79,12.58
11.79,8.54,12.17,13.25,11.17,24.96
14.71,16.58,11.92,15.75,14.0,33.45
14.62,10.5,14.21,17.08,11.67,27.92
14.88,12.12,13.75,17.33,9.83,22.63
15.75,14.37,14.42,13.5,11.5,18.41
27.25,18.16,27.54,20.96,17.5,21.12
14.67,13.5,10.21,13.33,7.79,17.79
15.34,15.83,12.25,13.0,10.17,19.79
18.71,16.71,13.88,14.92,13.42,20.41
22.88,19.67,20.79,20.17,15.16,27.84
17.12,16.04,10.96,11.79,10.71,22.71
6.29,3.58,6.71,3.33,2.25,12.17
4.75,6.79,6.08,3.88,5.54,7.33
10.04,9.21,13.25,9.29,8.58,16.08
7.17,8.46,7.54,1.71,2.5,8.25
13.83,6.83,10.13,7.58,7.04,13.08
12.67,10.54,12.92,9.33,8.12,19.29
8.0,6.58,7.38,4.08,6.17,10.63
11.83,10.58,8.04,6.25,6.67,13.79
8.42,9.87,3.21,7.25,6.5,15.96
5.25,6.38,6.04,8.25,7.54,19.92
,12.83,,,15.37,
18.91,13.29,13.29,12.62,12.58,23.87
9.67,10.88,8.25,3.42,8.96,17.21
18.79,14.62,12.29,16.5,14.54,24.33
14.83,10.34,7.41,7.17,5.71,13.59
14.46,10.17,9.59,4.38,9.13,22.95
9.92,7.21,11.0,8.38,10.21,17.96
12.92,11.25,6.5,10.34,6.75,17.33
9.92,12.38,3.5,4.54,4.71,10.29
13.21,13.46,8.12,14.33,18.05,41.46
