0,1,2,3,4,5
,,,9.54,10.21,16.92
,,,6.34,5.13,11.38
,,,3.75,4.33,7.41
,,,7.46,7.25,22.46
7.04,6.75,10.46,,,
18.25,12.25,19.41,,,
9.13,9.08,8.12,,,
12.83,8.46,5.41,,,
12.71,10.75,2.71,,,
10.46,10.83,4.75,,,
7.92,8.12,2.5,,,
7.96,8.25,3.92,,,
22.79,14.29,12.71,,,
6.38,6.46,5.13,,,
11.92,11.17,7.17,,,
17.29,15.5,9.21,,,
11.46,9.38,10.92,,,
13.33,8.33,13.42,,,
11.08,7.29,3.37,,,
4.96,4.5,5.5,,,
10.17,12.17,5.17,,,
4.88,8.71,3.5,,,
4.08,7.58,2.54,,,
13.25,10.79,12.71,,,
7.5,5.09,8.0,,,
11.71,12.04,10.67,,,
16.71,15.25,14.62,,,
6.0,9.62,6.25,,,
16.58,14.46,12.54,,,
12.25,10.54,9.92,,,
13.54,25.5,9.75,,,
7.17,20.83,8.29,,,
14.58,11.58,12.33,,,
10.75,11.29,13.0,,,
8.04,6.29,4.25,,,
9.21,9.17,9.21,,,
5.21,8.79,5.91,,,
11.04,8.67,10.63,,,
4.92,4.46,3.92,,,
10.0,6.83,6.0,,,
10.21,10.63,8.33,,,
18.71,17.08,14.37,,,
7.75,10.5,4.92,,,
9.29,9.33,6.83,,,
11.34,9.33,14.17,,,
13.25,19.12,11.34,,,
14.46,16.17,12.58,,,
11.25,10.34,8.08,,,
20.21,16.92,11.83,,,
12.92,12.92,7.71,,,
9.04,8.67,11.46,,,
18.12,17.16,20.12,,,
8.38,14.04,5.54,,,
28.79,23.63,33.04,,,
19.0,14.25,15.29,,,
6.92,7.04,5.25,,,
14.04,13.25,10.13,,,
3.75,4.67,1.54,,,
10.34,10.41,5.5,,,
8.54,8.67,4.79,,,
10.41,5.75,1.42,,,
8.67,11.54,3.88,,,
8.79,14.83,7.29,,,
4.92,6.38,3.17,,,
8.71,7.87,6.0,,,
11.38,11.46,11.75,,,
24.13,20.62,17.37,,,
19.04,21.42,12.29,,,
30.42,17.08,14.17,,,
12.17,6.21,8.38,,,
22.0,18.05,17.16,,,
10.34,8.92,9.42,,,
13.67,9.21,11.17,,,
6.42,11.83,3.96,,,
16.71,14.83,8.87,,,
9.67,11.12,5.33,,,
7.12,9.0,7.96,,,
10.37,11.54,11.17,,,
14.21,10.25,8.29,,,
15.34,10.92,11.92,,,
5.29,4.67,6.0,,,
12.75,10.37,9.33,,,
8.96,10.58,8.29,,,
9.46,15.5,6.08,,,
18.84,24.67,10.17,,,
16.46,10.37,16.88,,,
14.21,9.08,10.88,,,
13.59,12.08,9.75,,,
6.96,6.54,9.21,,,
25.7,21.37,16.88,,,
13.46,13.88,10.08,,,
4.17,7.41,5.41,,,
18.96,18.63,13.0,,,
15.79,16.71,10.92,,,
12.04,10.08,8.54,,,
9.38,18.46,8.29,,,
17.21,12.21,14.29,,,
12.42,16.25,12.12,,,
15.54,13.29,13.96,,,
20.12,14.04,13.75,,,
12.46,18.0,6.38,,,
13.79,6.79,8.92,,,
8.29,10.21,8.38,,,
7.96,7.04,6.87,,,
7.46,9.67,4.58,,,
23.79,13.92,17.62,,,
16.29,14.62,8.96,,,
16.38,19.12,10.67,,,
14.67,9.79,8.54,,,
14.42,11.63,15.79,,,
25.12,13.96,24.58,,,
25.84,20.88,25.92,,,
11.58,8.75,12.62,,,
33.12,25.88,21.79,,,
18.34,14.25,13.83,,,
11.67,13.46,10.17,,,
9.5,7.21,6.79,,,
8.5,8.75,7.08,,,
21.84,15.0,16.0,,,
14.88,8.08,9.46,,,
12.33,10.37,8.33,,,
18.46,15.96,12.83,,,
8.75,6.29,5.96,,,
15.0,14.75,12.75,,,
12.12,10.0,9.13,,,
7.21,6.46,6.25,,,
10.25,13.75,5.17,,,
3.25,4.38,1.83,,,
17.79,16.5,19.38,,,
15.63,13.83,14.0,,,
15.25,15.16,10.79,,,
9.75,8.25,12.33,,,
11.04,7.79,5.71,,,
8.75,5.96,5.33,,,
10.58,7.96,8.04,,,
11.46,14.0,7.21,,,
6.13,3.42,7.5,,,
7.58,7.33,7.96,,,
20.91,14.09,15.87,,,
10.29,14.37,6.25,,,
15.92,14.09,13.0,,,
5.37,6.54,2.13,,,
7.75,10.71,6.04,,,
10.41,11.04,9.67,,,
4.46,4.92,3.21,,,
15.75,12.54,15.71,,,
6.42,5.75,3.37,,,
6.04,5.41,3.92,,,
9.42,7.71,5.96,,,
9.83,8.12,4.29,,,
23.33,22.67,17.83,,,
5.66,5.33,4.29,,,
7.21,8.33,7.21,,,
13.5,7.83,10.75,,,
4.58,7.5,0.87,,,
10.83,7.79,9.83,,,
7.62,9.38,3.46,,,
16.0,13.37,14.09,,,
9.04,7.87,4.79,,,
8.75,11.83,11.25,,,
10.17,9.92,4.5,,,
16.38,15.54,11.12,,,
11.75,10.08,11.96,,,
27.5,20.21,17.0,,,
8.63,7.25,7.21,,,
13.13,14.54,9.67,,,
20.3,20.04,21.25,,,
14.29,12.54,10.54,,,
13.7,9.42,15.92,,,
16.88,11.58,14.37,,,
5.09,13.0,4.0,,,
7.96,13.5,4.12,,,
8.0,12.58,5.37,,,
14.12,27.25,10.88,,,
11.92,18.66,9.87,,,
8.5,18.0,6.34,,,
4.83,12.54,4.88,,,
4.63,14.33,5.0,,,
18.79,15.92,13.21,,,
8.92,7.0,7.54,,,
19.83,15.46,21.34,,,
20.33,17.25,21.71,,,
16.75,12.25,16.38,,,
9.75,9.08,9.75,,,
14.62,13.75,10.88,,,
11.79,8.54,12.17,,,
14.71,16.58,11.92,,,
14.62,10.5,14.21,,,
14.88,12.12,13.75,,,
15.75,14.37,14.42,,,
27.25,18.16,27.54,,,
14.67,13.5,10.21,,,
15.34,15.83,12.25,,,
18.71,16.71,13.88,,,
22.88,19.67,20.79,,,
17.12,16.04,10.96,,,
6.29,3.58,6.71,,,
4.75,6.79,6.08,,,
10.04,9.21,13.25,,,
7.17,8.46,7.54,,,
13.83,6.83,10.13,,,
12.67,10.54,12.92,,,
8.0,6.58,7.38,,,
11.83,10.58,8.04,,,
8.42,9.87,3.21,,,
5.25,6.38,6.04,,,
15.41,12.83,11.29,,,
18.91,13.29,13.29,,,
9.67,10.88,8.25,,,
18.79,14.62,12.29,,,
14.83,10.34,7.41,,,
14.46,10.17,9.59,,,
9.92,7.21,11.0,,,
12.92,11.25,6.5,,,
9.92,12.38,3.5,,,
13.21,13.46,8.12,,,
